ticker,start_date,end_date,sentiment_score
ILMN,2023-08-06,2023-08-12,0.1
ROST,2023-08-06,2023-08-12,0
CTAS,2023-08-06,2023-08-12,0
EBAY,2023-08-06,2023-08-12,0
KLAC,2023-08-06,2023-08-12,0
MNST,2023-08-06,2023-08-12,0
CDNS,2023-08-06,2023-08-12,0
CTSH,2023-08-06,2023-08-12,0
ORLY,2023-08-06,2023-08-12,0
DLTR,2023-08-06,2023-08-12,0
LULU,2023-08-06,2023-08-12,0.15
FAST,2023-08-06,2023-08-12,0.56
XEL,2023-08-06,2023-08-12,0.0
CTXS,2023-08-06,2023-08-12,0
NXPI,2023-08-06,2023-08-12,0
PCAR,2023-08-06,2023-08-12,0
SIRI,2023-08-06,2023-08-12,0
MAR,2023-08-06,2023-08-12,0
SGEN,2023-08-06,2023-08-12,0
EXC,2023-08-06,2023-08-12,0
ODFL,2023-08-06,2023-08-12,0.0
PAYX,2023-08-06,2023-08-12,0
ALGN,2023-08-06,2023-08-12,0
SWKS,2023-08-06,2023-08-12,0.48
TEAM,2023-08-06,2023-08-12,0
WBA,2023-08-06,2023-08-12,0.3
ADI,2023-08-06,2023-08-12,0
VRSK,2023-08-06,2023-08-12,0
CDW,2023-08-06,2023-08-12,0
BIDU,2023-08-06,2023-08-12,0
CHTR,2023-08-06,2023-08-12,0
VRSN,2023-08-06,2023-08-12,0
INCY,2023-08-06,2023-08-12,0.0
WDAY,2023-08-06,2023-08-12,0
ANSS,2023-08-06,2023-08-12,0
CPRT,2023-08-06,2023-08-12,0
UAL,2023-08-06,2023-08-12,0.53
TTWO,2023-08-06,2023-08-12,0
REG,2023-08-06,2023-08-12,0
HPE,2023-08-06,2023-08-12,0.83
EXPE,2023-08-06,2023-08-12,0
MCHP,2023-08-06,2023-08-12,0
VRSN,2023-08-06,2023-08-12,0
XLNX,2023-08-06,2023-08-12,0
BKNG,2023-08-06,2023-08-12,0.0
MXIM,2023-08-06,2023-08-12,0
PAYC,2023-08-06,2023-08-12,0
CTAS,2023-08-06,2023-08-12,0.72
TECH,2023-08-06,2023-08-12,0.78
WDAY,2023-08-06,2023-08-12,0
AAPL,2023-08-13,2023-08-19,0
