Ticker,Role Name,Role Rank,Role Rank Name,Total Pay,Base Pay,Stock,Bonus
SNPS,hardware-engineer,5,"68
Staff Hardware Engineer",199900.0,165100.0,17300.0,17500.0
SNPS,hardware-engineer,6,"69
Senior Staff Hardware Engineer",248000.0,184400.0,31400.0,32299.0
SNPS,hardware-engineer,7,"100
Principal Hardware Engineer",336200.0,225800.0,56900.0,53600.0
SNPS,hardware-engineer,8,"110
Synopsys Fellow",,,,
SNPS,electrical-engineer,1,64,,,,
SNPS,electrical-engineer,2,65,,,,
SNPS,electrical-engineer,3,66,,,,
SNPS,electrical-engineer,4,67,,,,
SNPS,electrical-engineer,5,68,,,,
SNPS,electrical-engineer,6,69,290500.0,200000.0,55000.0,35500.0
SNPS,electrical-engineer,7,100,,,,
SNPS,electrical-engineer,8,110,,,,
SNPS,product-manager,1,64,,,,
SNPS,product-manager,2,65,,,,
SNPS,product-manager,3,66,,,,
SNPS,product-manager,4,67,,,,
SNPS,product-manager,5,68,,,,
SNPS,product-manager,6,69,284000.0,201800.0,47500.0,34700.0
SNPS,product-manager,7,100,342700.0,220000.0,56700.0,66000.0
SNPS,product-manager,8,110,,,,
SNPS,technical-program-manager,1,64,,,,
SNPS,technical-program-manager,2,65,,,,
SNPS,technical-program-manager,3,66,,,,
SNPS,technical-program-manager,4,67,,,,
SNPS,technical-program-manager,5,68,240000.0,170000.0,45000.0,25000.0
SNPS,technical-program-manager,6,69,273200.0,195000.0,40000.0,38200.0
SNPS,technical-program-manager,7,100,,,,
SNPS,technical-program-manager,8,110,,,,
SNPS,product-design-manager,,100,330000.0,330000.0,0.0,0.0
SNPS,software-engineering-manager,1,"67
Manager I",,,,
SNPS,software-engineering-manager,2,"68
Manager II",,,,
SNPS,software-engineering-manager,3,"69
Senior Manager",316800.0,218100.0,51000.0,47700.0
SNPS,software-engineering-manager,4,"100
Director",413700.0,239000.0,110000.0,64700.0
SNPS,software-engineering-manager,5,"110
Group Director",585000.0,290000.0,200000.0,95000.0
SNPS,software-engineering-manager,6,VP,,,,
SNPS,software-engineering-manager,7,SVP,,,,
SNPS,product-designer,1,64,,,,
SNPS,product-designer,2,65,,,,
SNPS,product-designer,3,66,,,,
SNPS,product-designer,4,67,,,,
SNPS,product-designer,5,68,,,,
SNPS,product-designer,6,69,177000.0,148000.0,12500.0,16500.0
SNPS,product-designer,7,100,,,,
SNPS,product-designer,8,110,,,,
CDW,software-engineer,,II,84000.0,84000.0,0.0,0.0
CDW,solution-architect,,L3,153000.0,145000.0,0.0,8000.0
CDW,management-consultant,,,95700.0,,,
CDW,sales,,L1,35000.0,35000.0,0.0,0.0
CDW,information-technologist-it,,,14450.0,,,
CDW,data-analyst,,,85450.0,,,
CDW,data-scientist,,,79600.0,,,
CDW,accountant,,L2,58000.0,58000.0,0.0,0.0
CDW,business-analyst,,,80400.0,,,
CDW,business-operations,,,33050.0,,,
HON,software-engineer,1,"Software Engineer I
(Entry Level)",87200.0,85900.0,0.0,1300.0
HON,software-engineer,2,Software Engineer II,109400.0,107600.0,0.0,1800.0
HON,software-engineer,3,Advanced Software Engineer,123500.0,122500.0,451.0,625.0
HON,software-engineer,4,Senior Advanced Software Engineer,149100.0,149100.0,0.0,0.0
HON,software-engineer,5,Lead Software Engineer,176200.0,161300.0,0.0,14800.0
HON,software-engineer,6,Principal Software Engineer,,,,
HON,software-engineer,7,Fellow Software Engineer,,,,
HON,software-engineer,8,Senior Fellow Software Engineer,,,,
HON,hardware-engineer,,E2,89000.0,89000.0,0.0,0.0
HON,sales,,Senior,120000.0,120000.0,0.0,0.0
HON,electrical-engineer,,2,97500.0,97500.0,0.0,0.0
HON,product-manager,1,Offering Management Specialist 1,,,,
HON,product-manager,2,Offering Management Specialist 2,,,,
HON,product-manager,3,Senior Offering Management Specialist,152500.0,142500.0,10000.0,0.0
HON,product-manager,4,Offering Manager,160500.0,153200.0,0.0,7300.0
HON,product-manager,5,Senior Offering Manager,221400.0,195000.0,0.0,26400.0
HON,product-manager,6,Director,274800.0,233800.0,10000.0,31000.0
HON,product-manager,7,VP,,,,
HON,financial-analyst,,hidden,104000.0,104000.0,0.0,0.0
HON,data-scientist,,L3,106000.0,106000.0,0.0,0.0
HON,program-manager,,hidden,180000.0,160000.0,0.0,20000.0
HON,mechanical-engineer,1,Mechanical Engineer I,73800.0,73800.0,0.0,0.0
HON,mechanical-engineer,2,Mechanical Engineer II,88800.0,88700.0,0.0,91.0
HON,mechanical-engineer,3,Advanced Mechanical Engineer,105400.0,104800.0,0.0,667.0
HON,mechanical-engineer,4,Senior Advanced Mechanical Engineer,122000.0,121300.0,0.0,727.0
HON,mechanical-engineer,5,Lead Mechanical Engineer,165300.0,157500.0,0.0,7800.0
HON,mechanical-engineer,6,Principal Mechanical Engineer,,,,
HON,mechanical-engineer,7,Fellow Mechanical Engineer,,,,
HON,software-engineering-manager,,L3,220000.0,200000.0,0.0,20000.0
GFS,software-engineer,,L1,85000.0,80000.0,0.0,5000.0
GFS,hardware-engineer,,L8,140000.0,140000.0,0.0,0.0
GFS,electrical-engineer,,L1,97000.0,90000.0,0.0,7000.0
GFS,product-manager,,Principal,225000.0,140000.0,50000.0,35000.0
GFS,human-resources,,,67650.0,,,
GFS,financial-analyst,,6,147000.0,132000.0,0.0,14500.0
GFS,technical-program-manager,,-,120000.0,120000.0,0.0,0.0
GFS,data-scientist,,,130000.0,,,
GFS,mechanical-engineer,,6,99000.0,90000.0,0.0,9000.0
GFS,civil-engineer,,,105050.0,,,
DXCM,software-engineer,1,"T1
Software Engineer 1
(Entry Level)",97300.0,92900.0,500.0,4000.0
DXCM,software-engineer,2,"T2
Software Engineer 2",117000.0,110000.0,0.0,7400.0
DXCM,software-engineer,3,"T3
Senior Software Engineer",150000.0,142000.0,2000.0,6300.0
DXCM,software-engineer,4,"T4
Staff Software Engineer",144000.0,126000.0,8600.0,10100.0
DXCM,software-engineer,5,"T5
Senior Staff Software Engineer",251000.0,176000.0,41800.0,33300.0
DXCM,software-engineer,6,"T6
Principal Software Engineer",,,,
DXCM,biomedical-engineer,1,"T1
Biomedical Engineer 1",,,,
DXCM,biomedical-engineer,2,"T2
Biomedical Engineer 2",,,,
DXCM,biomedical-engineer,3,"T3
Senior Biomedical Engineer",,,,
DXCM,biomedical-engineer,4,"T4
Staff Biomedical Engineer",177000.0,152000.0,12000.0,13300.0
DXCM,biomedical-engineer,5,"T5
Senior Staff Biomedical Engineer",,,,
DXCM,biomedical-engineer,6,"T6
Principal Biomedical Engineer",,,,
DXCM,hardware-engineer,1,"T1
Hardware Engineer 1",,,,
DXCM,hardware-engineer,2,"T2
Hardware Engineer 2",120000.0,114000.0,0.0,5800.0
DXCM,hardware-engineer,3,"T3
Senior Hardware Engineer",,,,
DXCM,hardware-engineer,4,"T4
Staff Hardware Engineer",,,,
DXCM,hardware-engineer,5,"T5
Senior Staff Hardware Engineer",,,,
DXCM,hardware-engineer,6,"T6
Principal Hardware Engineer",,,,
DXCM,controls-engineer,,,167000.0,,,
DXCM,product-manager,1,"T1
Product Manager 1",,,,
DXCM,product-manager,2,"T2
Product Manager 2",,,,
DXCM,product-manager,3,"T3
Senior Product Manager",159000.0,133000.0,16000.0,9500.0
DXCM,product-manager,4,"T4
Staff Product Manager",,,,
DXCM,product-manager,5,"T5
Senior Staff Product Manager",,,,
DXCM,product-manager,6,"T6
Principal Product Manager",,,,
DXCM,technical-program-manager,1,"T1
TPM 1",71300.0,68500.0,0.0,2800.0
DXCM,technical-program-manager,2,"T2
TPM 2",,,,
DXCM,technical-program-manager,3,"T3
Senior TPM",203000.0,153000.0,37500.0,13000.0
DXCM,technical-program-manager,4,"T4
Staff TPM",187000.0,143000.0,30000.0,13600.0
DXCM,technical-program-manager,5,"T5
Senior Staff TPM",,,,
DXCM,technical-program-manager,6,"T6
Principal TPM",,,,
DXCM,data-scientist,1,"T1
Data Scientist 1",,,,
DXCM,data-scientist,2,"T2
Data Scientist 2",129000.0,121000.0,0.0,7400.0
DXCM,data-scientist,3,"T3
Senior Data Scientist",149000.0,136000.0,0.0,13000.0
DXCM,data-scientist,4,"T4
Staff Data Scientist",,,,
DXCM,data-scientist,5,"T5
Senior Staff Data Scientist",,,,
DXCM,data-scientist,6,"T6
Principal Data Scientist",,,,
DXCM,business-analyst,,Senior,110000.0,100000.0,0.0,10000.0
DXCM,mechanical-engineer,1,"T1
Mechanical Engineer 1",,,,
DXCM,mechanical-engineer,2,"T2
Mechanical Engineer 2",,,,
DXCM,mechanical-engineer,3,"T3
Senior Mechanical Engineer",,,,
DXCM,mechanical-engineer,4,"T4
Staff Mechanical Engineer",167000.0,140000.0,9300.0,18300.0
