ticker,start_date,end_date,sentiment_score
SBUX,2025-04-23,2025-04-29,0.44
AMD,2025-04-23,2025-04-29,0
HON,2025-04-23,2025-04-29,0.37
GILD,2025-04-23,2025-04-29,0
ISRG,2025-04-23,2025-04-29,0
BKNG,2025-04-23,2025-04-29,0.19
ADP,2025-04-23,2025-04-29,0
MDLZ,2025-04-23,2025-04-29,0.23
VRTX,2025-04-23,2025-04-29,0
REGN,2025-04-23,2025-04-29,0
LRCX,2025-04-23,2025-04-29,0
FISV,2025-04-23,2025-04-29,0.0
INTU,2025-04-23,2025-04-29,-0.36
MRNA,2025-04-23,2025-04-29,0
MU,2025-04-23,2025-04-29,0.34
ZM,2025-04-23,2025-04-29,0
IDXX,2025-04-23,2025-04-29,0
ASML,2025-04-23,2025-04-29,0
ATVI,2025-04-23,2025-04-29,0
KHC,2025-04-23,2025-04-29,0
BIIB,2025-04-23,2025-04-29,0
MELI,2025-04-23,2025-04-29,0
DOCU,2025-04-23,2025-04-29,0.06
ADSK,2025-04-23,2025-04-29,0.38
EA,2025-04-23,2025-04-29,0
WDAY,2025-04-23,2025-04-29,0
SNPS,2025-04-23,2025-04-29,0.29
ILMN,2025-04-23,2025-04-29,0
ROST,2025-04-23,2025-04-29,0
CTAS,2025-04-23,2025-04-29,0
EBAY,2025-04-23,2025-04-29,0
KLAC,2025-04-23,2025-04-29,0
MNST,2025-04-23,2025-04-29,0
CDNS,2025-04-23,2025-04-29,0.28
CTSH,2025-04-23,2025-04-29,0
ORLY,2025-04-23,2025-04-29,0
DLTR,2025-04-23,2025-04-29,0
LULU,2025-04-23,2025-04-29,0
FAST,2025-04-23,2025-04-29,0
XEL,2025-04-23,2025-04-29,0
CTXS,2025-04-23,2025-04-29,0
NXPI,2025-04-23,2025-04-29,0.21
PCAR,2025-04-23,2025-04-29,0
SIRI,2025-04-23,2025-04-29,0
MAR,2025-04-23,2025-04-29,0
SGEN,2025-04-23,2025-04-29,0
EXC,2025-04-23,2025-04-29,0
ODFL,2025-04-23,2025-04-29,0
PAYX,2025-04-23,2025-04-29,0
ALGN,2025-04-23,2025-04-29,0
SWKS,2025-04-23,2025-04-29,-0.03
TEAM,2025-04-23,2025-04-29,0
WBA,2025-04-23,2025-04-29,0
ADI,2025-04-23,2025-04-29,0
VRSK,2025-04-23,2025-04-29,0.2
CDW,2025-04-23,2025-04-29,0
BIDU,2025-04-23,2025-04-29,0.34
CHTR,2025-04-23,2025-04-29,0
VRSN,2025-04-23,2025-04-29,0.05
INCY,2025-04-23,2025-04-29,0
WDAY,2025-04-23,2025-04-29,0
ANSS,2025-04-23,2025-04-29,0
