company name,company ticker,company location,role name,role rank,role level,total pay (USD),base pay (USD),stock (USD),bonus (USD),upper bound (USD),lower bound (USD),years at company,years of experience
synopsys,SNPS,United States,software-engineering-manager,1,"67
Manager I",,,,,,,,
synopsys,SNPS,United States,software-engineering-manager,2,"68
Manager II",,,,,,,,
synopsys,SNPS,United States,software-engineering-manager,3,"69
Senior Manager",316800,218100,51000,47700,,,,
synopsys,SNPS,United States,software-engineering-manager,4,"100
Director",413700,239000,110000,64700,,,,
synopsys,SNPS,United States,software-engineering-manager,5,"110
Group Director",585000,290000,200000,95000,,,,
synopsys,SNPS,United States,software-engineering-manager,6,VP,,,,,,,,
synopsys,SNPS,United States,software-engineering-manager,7,SVP,,,,,,,,
synopsys,SNPS,United States,product-designer,1,64,,,,,,,,
synopsys,SNPS,United States,product-designer,2,65,,,,,,,,
synopsys,SNPS,United States,product-designer,3,66,,,,,,,,
synopsys,SNPS,United States,product-designer,4,67,,,,,,,,
synopsys,SNPS,United States,product-designer,5,68,,,,,,,,
synopsys,SNPS,United States,product-designer,6,69,177000,148000,12500,16500,,,,
synopsys,SNPS,United States,product-designer,7,100,,,,,,,,
synopsys,SNPS,United States,product-designer,8,110,,,,,,,,
cdw,CDW,United States,software-engineer,,II,84000,84000,0,0,,,2 Years,2 Years
cdw,CDW,United States,solution-architect,,L3,153000,145000,0,8000,,,2 Years,8 Years
cdw,CDW,United States,management-consultant,,,95700,,,,103000,88400,,
cdw,CDW,United States,sales,,L1,35000,35000,0,0,,,1 Year,1 Year
cdw,CDW,United States,information-technologist-it,,,14450,,,,15700,13200,,
cdw,CDW,United States,data-analyst,,,85450,,,,91000,79900,,
cdw,CDW,United States,data-scientist,,,79600,,,,84800,74400,,
cdw,CDW,United States,accountant,,L2,58000,58000,0,0,,,1 Year,5 Years
cdw,CDW,United States,business-analyst,,,80400,,,,88000,72800,,
cdw,CDW,United States,business-operations,,,33050,,,,35800,30300,,
honeywell,HON,United States,software-engineer,1,"Software Engineer I
(Entry Level)",87200,85900,0,1300,,,,
honeywell,HON,United States,software-engineer,2,Software Engineer II,109400,107600,0,1800,,,,
honeywell,HON,United States,software-engineer,3,Advanced Software Engineer,123500,122500,451,625,,,,
honeywell,HON,United States,software-engineer,4,Senior Advanced Software Engineer,149100,149100,0,0,,,,
honeywell,HON,United States,software-engineer,5,Lead Software Engineer,176200,161300,0,14800,,,,
honeywell,HON,United States,software-engineer,6,Principal Software Engineer,,,,,,,,
honeywell,HON,United States,software-engineer,7,Fellow Software Engineer,,,,,,,,
honeywell,HON,United States,software-engineer,8,Senior Fellow Software Engineer,,,,,,,,
honeywell,HON,United States,hardware-engineer,,E2,89000,89000,0,0,,,1 Year,2 Years
honeywell,HON,United States,sales,,Senior,120000,120000,0,0,,,1 Year,7 Years
honeywell,HON,United States,electrical-engineer,,2,97500,97500,0,0,,,0 Years,0 Years
honeywell,HON,United States,product-manager,1,Offering Management Specialist 1,,,,,,,,
honeywell,HON,United States,product-manager,2,Offering Management Specialist 2,,,,,,,,
